gap_id,log_file,domain,flow_id,severity,title,doc_claim,status,evidence,commit,verified_by,verified_on,notes
AGREEMENT_NEGOTIATION:A4,AGREEMENT_NEGOTIATION_GAP_LOG.md,4,4.3,P1,Severe Blanket Direct UPDATE Vulnerability on Agreements,,UNVERIFIED,,,,,"In supabase/legacy/migration_launch_hardening.sql:53-55, policy upd_agreements grants unrestricted client-side UPDATE to authenticated users where auth.uid() in (requester_user_id, responder_user_id). Any participant can directly send a Supabase REST PATCH request modifying agreed_price: 1, payment_status: ""PAID"", status: ""COMPLETED"", or requester_confirmed: true, completely bypassing every server-side RPC check."
AGREEMENT_NEGOTIATION:A5,AGREEMENT_NEGOTIATION_GAP_LOG.md,4,4.3,P1,Rate Screen Inverted Role Bug (Responder Rates Themselves),,UNVERIFIED,,,,,"In RateScreen.tsx:51, 64-66, the screen hardcodes a.responderUserId, a.responderName, and a.responderAvatar. When a provider taps ""Rate {customerName}"" from Agreements.tsx:94, the screen displays the provider's own face, asks ""How was {provider}?"", and calls requestService.rate(a.responderUserId, ...). The provider submits a self-review instead of rating the customer."
AGREEMENT_NEGOTIATION:A6,AGREEMENT_NEGOTIATION_GAP_LOG.md,4,4.3,P1,Zero In-Context Communication Channels on Active Agreements,,UNVERIFIED,,,,,"On AgreementScreen.tsx, there is NO chat button, NO phone call link, and NO direct messaging trigger. Once a proposal becomes an active contract, parties have no in-context way to coordinate arrival, share gate codes, or clarify job requirements without exiting to /chats and manually searching for the user."
AGREEMENT_NEGOTIATION:A7,AGREEMENT_NEGOTIATION_GAP_LOG.md,4,4.3,P1,Silent Dead-End Disputes (Zero Notifications to Admin or Counterparty),Resolved,UNVERIFIED,,,,,"In agreement_dispute (20260822_booking_and_deal_integrity.sql:177-186), raising a dispute sets status = 'DISPUTED' but does not insert any notification to the other party or the admin. On AgreementScreen.tsx:304-315, a disputed agreement becomes a permanent dead end with no actions for either party."
AGREEMENT_NEGOTIATION:A8,AGREEMENT_NEGOTIATION_GAP_LOG.md,4,4.3,P2,Deal UPI Payment Sheet Fails for Team-Submitted Deals,,UNVERIFIED,,,,,"In DealUpiSheet.tsx:17-24, fetchUpiForUser(payeeUserId) queries businesses.owner_user_id = payeeUserId or providers.user_id = payeeUserId. If an agreement was initiated by team member Alice on behalf of a business owned by Bob, fetchUpiForUser finds no UPI ID under Alice, falsely displaying ""{Business} hasn't set up UPI yet"" and blocking UPI checkout."
AGREEMENT_NEGOTIATION:A9,AGREEMENT_NEGOTIATION_GAP_LOG.md,4,4.3,P2,Fixed Action Bar Overlaps and Clips Page Content in ACTIVE Status,Fixed,UNVERIFIED,,,,,"In AgreementScreen.tsx:617, 622, actionAreaHeight defaults to 72px for status === ""ACTIVE"". The actual action area in ACTIVE status contains 4 rows (height ~190px). Over 100px of page content (including the payment status card and terms) is cut off underneath the fixed bar, with no safe-area inset padding."
AGREEMENT_NEGOTIATION:A10,AGREEMENT_NEGOTIATION_GAP_LOG.md,4,4.3,P2,Infinite Unthrottled Payment Nudges,,UNVERIFIED,,,,,"In requestService.ts:617-639, nudgeAgreementPayment has no rate limiting or deduplication. A provider can repeatedly spam the payment request button, firing dozens of push notifications to the customer."
AGREEMENT_NEGOTIATION:A11,AGREEMENT_NEGOTIATION_GAP_LOG.md,4,4.3,P2,Blind Proposal Status Overwrite on Agreement Cancellation,,UNVERIFIED,,,,,"In cancel_expired_agreements (20260825_agreement_cancel_and_expiry.sql:83, 114), cancelling an agreement executes update public.proposals set status = 'SUBMITTED' where request_id = v_ag.request_id;, blindly reactivating all proposals, including proposals that were deliberately WITHDRAWN by providers."
AGREEMENT_NEGOTIATION:A12,AGREEMENT_NEGOTIATION_GAP_LOG.md,4,4.3,P3,Hardcoded #fff Tokens Across Agreement Surfaces,,UNVERIFIED,,,,,"Multiple hardcoded #fff values in AgreementScreen.tsx (lines 73, 323, 354, 362, 389, 425, 456, 465, 520, 563, 582, 604, 697) and DealUpiSheet.tsx:56, 93 break theme tokens and dark mode styling."
APPOINTMENT_BOOKING:#1,APPOINTMENT_BOOKING_GAP_LOG.md,2,2.1,,Rescheduling an appointment wipes payment details (PAID → UNPAID),Resolved,UNVERIFIED,,,,,"Preserved via Migration 20260935, AppointmentSheet logic, and local fallback"
APPOINTMENT_BOOKING:#2,APPOINTMENT_BOOKING_GAP_LOG.md,2,2.1,,Rescheduling an appointment overwrites package name & price with NULL,Resolved,UNVERIFIED,,,,,"Pre-selected in UI, passed in payload, preserved via SQL coalesce, and verified via tests"
APPOINTMENT_BOOKING:#3,APPOINTMENT_BOOKING_GAP_LOG.md,2,2.1,,Multi-spot party size ignores pricing and hardcodes quantity 1 in SQL,Resolved,UNVERIFIED,,,,,Multiplies activePrice by partySize; Migration 20260936 sets quantity = partySize in line items
APPOINTMENT_BOOKING:#4,APPOINTMENT_BOOKING_GAP_LOG.md,2,2.1,,"Date selector stays on ""Today"" after hours when zero slots remain",Resolved,UNVERIFIED,,,,,Auto-advances dayOffset to tomorrow/next open day when today has passed or has 0 available slots
APPOINTMENT_BOOKING:#5,APPOINTMENT_BOOKING_GAP_LOG.md,2,2.1,,Out-of-service-area distance check hard-blocks in-store visits,Resolved,UNVERIFIED,,,,,Distance check restricted strictly to DELIVERY; in-store bookings permitted with soft distance notice
APPOINTMENT_BOOKING:#6,APPOINTMENT_BOOKING_GAP_LOG.md,2,2.1,,Delivery option disabled with zero user feedback when pin not dropped,Resolved,UNVERIFIED,,,,,Initialized from user coordinates; button text indicates missing step and confirms on complete pin
APPOINTMENT_BOOKING:#7,APPOINTMENT_BOOKING_GAP_LOG.md,2,2.1,,"Time-of-day period filter sticks across dates, trapping user on empty screen",Resolved,UNVERIFIED,,,,,Automatically resets slotPeriod to 'all' when switching dates or when period has 0 slots
APPOINTMENT_BOOKING:#8,APPOINTMENT_BOOKING_GAP_LOG.md,2,2.1,,Raw database error strings displayed to customer on booking exceptions,Resolved,UNVERIFIED,,,,,appointmentService.create maps SQL error codes to friendly customer-facing toast messages
APPOINTMENT_BOOKING:#9,APPOINTMENT_BOOKING_GAP_LOG.md,2,2.1,,Photo re-uploaded to Supabase Storage on every retry + memory leak,Resolved,UNVERIFIED,,,,,"Caches uploadedUrl across retries; revokes object URLs on photo removal, change, and unmount"
APPOINTMENT_BOOKING:#10,APPOINTMENT_BOOKING_GAP_LOG.md,2,2.1,,Mobile virtual keyboard obscures notes and delivery address inputs,Resolved,UNVERIFIED,,,,,Added 80px bottom scroll padding so inputs scroll smoothly above sticky footer & mobile keyboard
APPOINTMENT_BOOKING:#11,APPOINTMENT_BOOKING_GAP_LOG.md,2,2.1,,Multi-staff / specific practitioner appointment allocation,Deferred (By Design),UNVERIFIED,,,,,Local service shops operate single unified schedules; individual staff selection is deferred
APPOINTMENT_BOOKING:#12,APPOINTMENT_BOOKING_GAP_LOG.md,2,2.1,,Recurring weekly/monthly automatic appointment booking,Deferred (By Design),UNVERIFIED,,,,,Atomic single bookings match customer trust; recurring bookings handled via subscription service
APPOINTMENT_BOOKING:#13,APPOINTMENT_BOOKING_GAP_LOG.md,2,2.1,,Google Calendar / Apple iCal synchronization (.ics export),Deferred (By Design),UNVERIFIED,,,,,In-app reminders and notifications satisfy launch requirements
ASK_REQUEST_CREATION:R1,ASK_REQUEST_CREATION_GAP_LOG.md,4,4.1,P0,"Null Island Coordinates (0, 0) Stored on Geolocation Failure",,UNVERIFIED,,,,,"In AskCompose.tsx:247-257, 276-277, if GPS is denied or times out after 4 seconds, the request is posted with lat: 0, lng: 0 (in the Atlantic Ocean). The DB notification trigger notify_on_request() queries around (0, 0), notifying 0 local businesses/providers in India. The request feed calculates distance as ~7,500 km and filters it out of every user's feed, rendering the request completely invisible."
ASK_REQUEST_CREATION:R2,ASK_REQUEST_CREATION_GAP_LOG.md,4,4.1,P0,Uncompressed Mobile Camera Uploads Fail Over 5MB Limit,,UNVERIFIED,,,,,"In AskCompose.tsx:177-197, 472-473, photos from camera and gallery are uploaded raw via Promise.all(files.map(f => uploadService.upload(f, ""request-photo""))). High-resolution mobile phone camera photos (6MB–20MB) exceed Supabase's 5MB upload limit, causing HTTP 413 errors and blocking submission."
ASK_REQUEST_CREATION:R3,ASK_REQUEST_CREATION_GAP_LOG.md,4,4.1,P1,Smart Template Field Answers Are Silently Discarded,,UNVERIFIED,,,,,"In AskCompose.tsx:331-358, 259-278, users select answers for template fields (e.g. Birthday Cake: Flavour, Weight, Eggless; Plumber: Issue type). The state is collected in fieldVals, but in post(), fieldVals is completely ignored and never appended to description or sent to the backend. Responders receive requests missing all selected template specifications."
ASK_REQUEST_CREATION:R4,ASK_REQUEST_CREATION_GAP_LOG.md,4,4.1,P1,Voice Dictation Hardcodes Hindi (hi-IN) & Leaks Mic Stream,,UNVERIFIED,,,,,"In AskCompose.tsx:123-156, rec.lang = ""hi-IN"" is hardcoded regardless of the user's active app language (en or mr), transcribing English and Marathi speech as phonetically garbled Hindi. Furthermore, the speech recognition stream is not stopped in a cleanup effect, leaking the active microphone indicator upon unmount."
ASK_REQUEST_CREATION:R5,ASK_REQUEST_CREATION_GAP_LOG.md,4,4.1,P1,Fragile Substring Matching on Voice Dictation Overwrites Category,,UNVERIFIED,,,,,"In AskCompose.tsx:143-149, transcript words are matched against category names and slugs using loose .includes(). Common spoken words like ""car"", ""tap"", or ""home"" trigger false matches and silently overwrite the user's selected category."
ASK_REQUEST_CREATION:R6,ASK_REQUEST_CREATION_GAP_LOG.md,4,4.1,P2,"Missing ""Clear Draft"" / ""Start Over"" Reset Action",,UNVERIFIED,,,,,"In AskCompose.tsx:84, 233-242, form state is automatically saved to localStorage. There is no button to discard a draft or reset the form. Once saved, re-entering /ask permanently restores the stale draft, forcing the user to manually backspace every field. fieldVals is also omitted from RequestDraft and lost on reload."
ASK_REQUEST_CREATION:R7,ASK_REQUEST_CREATION_GAP_LOG.md,4,4.1,P2,"""Me Too"" Crashes on Doorstep Fulfillment Requests",,UNVERIFIED,,,,,"In requestService.ts:432, meToo() calls group_buy_join without passing p_delivery_address. When called on requests with fulfillment_type = 'DOORSTEP', PostgreSQL throws an unhandled DELIVERY_ADDRESS_REQUIRED exception."
ASK_REQUEST_CREATION:R8,ASK_REQUEST_CREATION_GAP_LOG.md,4,4.1,P3,Hardcoded #fff Tokens in Form Surfaces,,UNVERIFIED,,,,,"Hardcoded #fff and #ffffff in AskCompose.tsx:436, 445, 498, 502, 591, 592, 620, 649, 650 violate theme token architecture and dark mode styling."
BOOKMARKS_LISTS:LIST-1,BOOKMARKS_LISTS_GAP_LOG.md,9,9.5,P0,Unregistered /lists Route in App.tsx Triggers 404 from Profile Hub,,UNVERIFIED,,,,,"Clicking ""My lists"" on Profile.tsx navigates to /lists, which is missing from App.tsx, showing a blank 404 page."
BOOKMARKS_LISTS:LIST-2,BOOKMARKS_LISTS_GAP_LOG.md,9,9.5,P0,Complete Absence of Deletion Functions for Custom Lists and Items,,UNVERIFIED,,,,,"Neither the UI (Lists.tsx, AddToListSheet.tsx) nor the client store (useCommerceSlice.ts) implements deleteList or removeFromList. Saved items cannot be deleted."
BOOKMARKS_LISTS:LIST-3,BOOKMARKS_LISTS_GAP_LOG.md,9,9.5,P0,Massive Promise.all N+1 Query Waterfall in Bookmarks.tsx,,UNVERIFIED,,,,,"Every bookmarked business and provider triggers an independent HTTP fetch in parallel instead of a single batched .in(""id"", ids) query."
BOOKMARKS_LISTS:LIST-4,BOOKMARKS_LISTS_GAP_LOG.md,9,9.5,P1,"Provider Profile Lacks ""Add to List"" Action Sheet",,UNVERIFIED,,,,,Customers can bookmark providers but cannot add them to custom lists from ProviderDetail.tsx.
BOOKMARKS_LISTS:LIST-5,BOOKMARKS_LISTS_GAP_LOG.md,9,9.5,P1,Optimistic Dummy ID Desync in createList,,UNVERIFIED,,,,,"If createList network insert fails, items added to the list trigger database foreign key errors, losing items on refresh."
BOOKMARKS_LISTS:LIST-6,BOOKMARKS_LISTS_GAP_LOG.md,9,9.5,P1,Severed List Sharing & Missing Public List View,,UNVERIFIED,,,,,Curated lists cannot be shared with neighbors due to restrictive RLS and missing public list route.
BOOKMARKS_LISTS:LIST-7,BOOKMARKS_LISTS_GAP_LOG.md,9,9.5,P2,Emoji Picker Keyboard & Touch Accessibility,,UNVERIFIED,,,,,"Emoji picker buttons lack focus indicators, aria-labels, and standard 44px touch targets."
BROADCAST_RADIUS:RAD-1,BROADCAST_RADIUS_GAP_LOG.md,7,7.9,P0,Missing Query Cache Invalidation Reverts Radius on Back Navigation,,UNVERIFIED,,,,,"In BroadcastRadius.tsx:28-31, businessService.update updates broadcastRadius and navigates back (nav(-1)). Stale cached data in queryCache (business:${id}) is served to BusinessProfileHub and subsequent ProfileEditor sessions, risking old values overwriting the new radius on subsequent edits."
BROADCAST_RADIUS:RAD-2,BROADCAST_RADIUS_GAP_LOG.md,7,7.9,P1,Blind Radius Selection Without Geographic Visualizer,,UNVERIFIED,,,,,"Merchants choose a radius from a pure slider without a map circle overlay. In Indian cities where 5 km may span across a river, toll road, or distinct municipal boundary, owners frequently over-commit or under-serve their trade area."
BROADCAST_RADIUS:RAD-3,BROADCAST_RADIUS_GAP_LOG.md,7,7.9,P2,Duplicate Edit Surface Divergence,,UNVERIFIED,,,,,"ProfileEditor.tsx:244-250 and BroadcastRadius.tsx:50-55 both edit broadcastRadius. An owner editing other profile details in ProfileEditor might leave radius unchanged, overwriting recent adjustments made in BroadcastRadius."
BROADCAST_RADIUS:RAD-4,BROADCAST_RADIUS_GAP_LOG.md,7,7.9,P2,Zero Realtime Reach Estimation,,UNVERIFIED,,,,,The merchant has no feedback on how many active users or neighborhoods are encompassed by their radius choice.
BULK_DEALS:BLK-1,BULK_DEALS_GAP_LOG.md,7,7.4,P0,No-deposit bulk deals never mint claim passes,,UNVERIFIED,,,,,Update _bulk_deal_close_internal to issue tokens for all pledges when deposit_amount IS NULL.
BULK_DEALS:BLK-2,BULK_DEALS_GAP_LOG.md,7,7.4,P0,Deleting campaign wipes customer QR passes,,UNVERIFIED,,,,,Prevent deleting campaigns with unredeemed ISSUED passes; archive instead.
BULK_DEALS:BLK-3,BULK_DEALS_GAP_LOG.md,7,7.4,P1,Delegated managers blocked from closing/extending,,UNVERIFIED,,,,,Add catalog scope check to bulk_deal_close & bulk_deal_extend; update App.tsx route guard.
BULK_DEALS:BLK-4,BULK_DEALS_GAP_LOG.md,7,7.4,P1,Redemption scanner omits remaining balance due,,UNVERIFIED,,,,,Compute balance due and display amount to collect on the pass redemption success card.
BULK_DEALS:BLK-5,BULK_DEALS_GAP_LOG.md,7,7.4,P2,Cross-store redemption voucher leak,,UNVERIFIED,,,,,Enforce business_id matching in bulk_deal_token_redeem.
BULK_DEALS:BLK-6,BULK_DEALS_GAP_LOG.md,7,7.4,P2,Raw server exceptions on deadline extension,,UNVERIFIED,,,,,Add min constraint on datetime picker and translate PostgreSQL error codes.
BULK_DEALS:BLK-7,BULK_DEALS_GAP_LOG.md,7,7.4,P3,Hardcoded #fff in DealComposer sheet,,UNVERIFIED,,,,,Replace #fff with var(--surface).
BUSINESS_APPOINTMENTS:B1,BUSINESS_APPOINTMENTS_GAP_LOG.md,2,2.3,P0,Walk-in Multi-Person Pricing Discrepancy,,UNVERIFIED,,,,,"WalkInModal passes single unit price instead of unitPrice * partySize. Cash payment records fractional revenue (e.g. ₹400 instead of ₹1,200 for 3 spots)."
BUSINESS_APPOINTMENTS:B2,BUSINESS_APPOINTMENTS_GAP_LOG.md,2,2.3,P0,In-Person Cash Payment Blocked for Customer In-Store Bookings,,UNVERIFIED,,,,,"Merchants can only record cash for isWalkIn. For app bookings paid in physical currency at the counter, merchant has no way to mark PAID (DB throws NOT_WALK_IN_MANAGER)."
BUSINESS_APPOINTMENTS:B3,BUSINESS_APPOINTMENTS_GAP_LOG.md,2,2.3,P2,Walk-In Phone Number Trapped in Plain Text Note,,UNVERIFIED,,,,,Phone numbers entered for walk-ins are stored in plain text notes with no click-to-call (tel:) or copy affordance.
BUSINESS_APPOINTMENTS:B4,BUSINESS_APPOINTMENTS_GAP_LOG.md,2,2.3,P2,Fragile Ad-Hoc Regex for Walk-In Time Slot Parsing,,UNVERIFIED,,,,,Line 293 uses ad-hoc regex /(\d+):(\d+)\s?(AM
BUSINESS_APPOINTMENTS:B5,BUSINESS_APPOINTMENTS_GAP_LOG.md,2,2.3,P3,Hardcoded #fff Color Literals in Batch Select & WalkInModal,,UNVERIFIED,,,,,Inline styles in BusinessAppointments.tsx and WalkInModal.tsx use #fff instead of var(--surface).
BUSINESS_APPOINTMENTS:B6,BUSINESS_APPOINTMENTS_GAP_LOG.md,2,2.3,P2,Direct 1:1 Chat / Call Affordance Missing on Appointment Cards,,UNVERIFIED,,,,,Merchant cannot initiate quick messaging or communication with customers running late for an upcoming booking.
BUSINESS_ONBOARDING:#1,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Unauthenticated user entry dead end,,UNVERIFIED,,,,,401 error after 15 mins of data entry with zero recovery
BUSINESS_ONBOARDING:#2,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Missing 5-business limit pre-flight,,UNVERIFIED,,,,,Form crashes on submit if user already owns 5 businesses
BUSINESS_ONBOARDING:#3,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,,Form draft auto-save,Deferred (New Feature),UNVERIFIED,,,,,Enhancement for background resume; not a blocker
BUSINESS_ONBOARDING:#4,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Missing delete/trash button on photos,,UNVERIFIED,,,,,Wrong photo cannot be removed without full page refresh
BUSINESS_ONBOARDING:#5,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,,Cover photo selection & reordering,Deferred (Enhancement),UNVERIFIED,,,,,First photo works as default cover
BUSINESS_ONBOARDING:#6,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Photo upload file size validation,,UNVERIFIED,,,,,High-res camera photos crash Supabase upload silently
BUSINESS_ONBOARDING:#7,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,,Location search bar / autocomplete,Deferred (New Feature),UNVERIFIED,,,,,Map pin & GPS already function
BUSINESS_ONBOARDING:#8,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Silent Continue button disable on lat/lng,,UNVERIFIED,,,,,Form disables next button with zero error feedback
BUSINESS_ONBOARDING:#9,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Reverse geocode overwriting custom text,,UNVERIFIED,,,,,Wipes user's manual city/pincode entry
BUSINESS_ONBOARDING:#10,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Phone input +91/0 clipping bug,,UNVERIFIED,,,,,"maxLength=10 truncates numbers, blocking submission"
BUSINESS_ONBOARDING:#11,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Store hours wiped when bookings disabled,,UNVERIFIED,,,,,Retail/cafes get NULL hours in DB; breaks listing
BUSINESS_ONBOARDING:#12,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,,Business bio/description field,Deferred (Enhancement),UNVERIFIED,,,,,Can already be edited in Manage Profile
BUSINESS_ONBOARDING:#13,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,,WhatsApp & business email fields,Deferred (New Feature),UNVERIFIED,,,,,Secondary contact channels; phone already collected
BUSINESS_ONBOARDING:#14,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Category chips single-word truncation,,UNVERIFIED,,,,,"Mangles category labels (""Home"", ""Pet"", ""Real"")"
BUSINESS_ONBOARDING:#15,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,,Propose custom category,Deferred (New Feature),UNVERIFIED,,,,,Existing catalog covers standard verticals
BUSINESS_ONBOARDING:#16,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Generic categories lock out package picker,,UNVERIFIED,,,,,Owners cannot select page type
BUSINESS_ONBOARDING:#17,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,,"Hardcoded 3,247 nearby users copy",Deferred (Cosmetic),UNVERIFIED,,,,,Non-blocking display copy
BUSINESS_ONBOARDING:#18,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Missing context switch & dead-end nav,,UNVERIFIED,,,,,User left in customer mode instead of new dashboard
BUSINESS_ONBOARDING:#19,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Race condition between addRole & refreshUser,,UNVERIFIED,,,,,User loses business_owner role on refresh
BUSINESS_ONBOARDING:#20,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Unconditional isOpenNow: true at midnight,,UNVERIFIED,,,,,Corrupts live open status badge
BUSINESS_ONBOARDING:#21,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,,Orphaned storage files on DB fail,Deferred (Hygiene),UNVERIFIED,,,,,Backend storage hygiene; doesn't break user flow
BUSINESS_ONBOARDING:#22,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,Redundant submitForReview call,,UNVERIFIED,,,,,Eliminates duplicate failing HTTP roundtrip
BUSINESS_ONBOARDING:#23,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,,Admin notification trigger,Deferred (New Feature),UNVERIFIED,,,,,Notification system enhancement
BUSINESS_ONBOARDING:#24,BUSINESS_ONBOARDING_GAP_LOG.md,0,0.2,P0,"Missing ""Under Review"" banner",,UNVERIFIED,,,,,Merchant has no visibility on review status
BUSINESS_PORTFOLIO:PORT-1,BUSINESS_PORTFOLIO_GAP_LOG.md,7,7.6,P0,Phantom Fallback Items Bleed into Management Console & Break Deletions/Edits,,UNVERIFIED,,,,,"When a business has no uploaded samples, enrichBusinessPortfolio generates synthetic items with IDs like bp_fb_${businessId}_${i}. The management screen renders these as if they are the owner's real items. Deleting them attempts a DELETE on non-existent IDs, and on refetch() the exact same synthetic items re-appear. Caption edits also silently fail."
BUSINESS_PORTFOLIO:PORT-2,BUSINESS_PORTFOLIO_GAP_LOG.md,7,7.6,P0,Dangerous One-Tap Accidental Deletion on 28px Mobile Touch Target,,UNVERIFIED,,,,,"In BusinessPortfolio.tsx:136-142, tapping the 28px trash icon immediately executes deletePortfolio(id, item.id). On mobile touchscreens, a minor finger slip next to the 28px edit pencil instantly and irreversibly destroys the portfolio record from the database."
BUSINESS_PORTFOLIO:PORT-3,BUSINESS_PORTFOLIO_GAP_LOG.md,7,7.6,P1,Silent No-Op Mutations Due to Missing Row Count Assertions,,UNVERIFIED,,,,,"In businessService.ts:788-799, updatePortfolio and deletePortfolio do not verify that a row was actually modified. If PostgREST returns 0 affected rows (due to an RLS policy block, session timeout, or synthetic ID), the service returns successfully and toasts ""Removed from portfolio"" or ""Saved"", masking write failures."
